bing	98	comparison of web search engines	0.16218012732646123
bing	656	yebol	0.12033465415520597
bing	277	info.com	0.11931354823110753
bing	381	msnbot	0.10926001379392758
bing	52	bing	0.1010411803546103
bing	344	live search	0.10099337493111375
bing	354	msn search	0.10098939678092463
bing	520	search engine results pages	0.09953872937174583
bing	637	web search engine	0.08220033597577761
bing	343	list of search engines	0.07900736263650478
bing	447	powerset (company)	0.0779015422979948
bing	638	web search query	0.07043250358792744
bing	427	organic search	0.06731740326289243
bing	336	leapfish	0.06653129683750106
bing	519	search engine optimization	0.06522786970203552
bing	326	keyword (internet search)	0.06521597863756314
bing	525	semantic search	0.061809174765236743
bing	654	yahoo! search	0.060643479522539054
bing	518	search engine marketing	0.05555612973854956
bing	75	carrot2	0.05251114818565246
bing	245	goby inc.	0.05235856852449442
bing	622	webcrawler	0.05218434444822342
bing	194	duckduckgo	0.05161879688853119
bing	337	learning to rank	0.05057983602166229
bing	492	robots.txt	0.04934298699161769
bing	493	robots exclusion standard	0.04931508591531492
bing	631	web mining	0.04661386413010295
bing	187	dogpile	0.044148330988647726
bing	647	wolfram alpha	0.0436950313287244
bing	250	google search	0.03528597039188561
bing	401	naver	0.03157531922440205
bing	373	microsoft	0.030160276053182108
bing	21	altavista	0.02809299061538053
bing	466	quaero	0.026370411772575455
bing	244	go.com	0.025738148527323687
bing	619	volunia	0.024355518269549282
bing	152	data mining	0.02295317122184832
bing	369	meta tags	0.020235644759509057
bing	355	machine learning	0.019482781045230532
bing	35	ask.com	0.018978280423181417
bing	276	index (search engine)	0.016595267877763137
bing	517	search engine indexing	0.016594553953235388
bing	117	computer vision	0.01645944512006917
bing	625	web crawler	0.0127174482321786
bing	626	web crawling	0.012717354015058422
bing	45	baidu	0.012150701523825407
bing	241	geographic information systems	0.01017981321112314
bing	247	google	0.0071668463901097875
bing	0	1890 us census	0.0
bing	1	a9.com	0.0
bing	2	acm computing classification system	0.0
bing	3	advise	0.0
bing	4	aol	0.0
bing	5	aol search	0.0
bing	6	academic press	0.0
bing	7	academic journal	0.0
bing	8	accuracy and precision	0.0
bing	9	actuate corporation	0.0
bing	10	adversarial information retrieval	0.0
bing	11	adverse drug reaction	0.0
bing	12	advertising	0.0
bing	13	aggregate (data warehouse)	0.0
bing	14	aggregate function	0.0
bing	15	alan emtage	0.0
bing	16	algorithm	0.0
bing	17	algorithm design	0.0
bing	18	aliweb	0.0
bing	19	alltheweb	0.0
bing	20	alpha consumer	0.0
bing	22	alvin weinberg	0.0
bing	23	analysis of algorithms	0.0
bing	24	analytics	0.0
bing	25	anchor modeling	0.0
bing	26	angoss	0.0
bing	27	anomaly detection	0.0
bing	28	archie comics	0.0
bing	29	archie search engine	0.0
bing	30	argonne national laboratory	0.0
bing	31	artificial intelligence	0.0
bing	32	artificial life	0.0
bing	33	artificial neural network	0.0
bing	34	as we may think	0.0
bing	36	association for computing machinery	0.0
bing	37	association rule	0.0
bing	38	association rule learning	0.0
bing	39	association rule mining	0.0
bing	40	association rules	0.0
bing	41	atlantic monthly	0.0
bing	42	automata theory	0.0
bing	43	automated reasoning	0.0
bing	44	automatic summarization	0.0
bing	46	bayes' theorem	0.0
bing	47	berlekamp	0.0
bing	48	bibliometrics	0.0
bing	49	bill inmon	0.0
bing	50	binary independence model	0.0
bing	51	binary classification	0.0
bing	53	bioinformatic	0.0
bing	54	bioinformatics	0.0
bing	55	biomedical	0.0
bing	56	blackle.com	0.0
bing	57	blekko	0.0
bing	58	boogami	0.0
bing	59	boolean algebra	0.0
bing	60	boolean operators	0.0
bing	61	bram stoker	0.0
bing	62	british petroleum	0.0
bing	63	business intelligence	0.0
bing	64	business intelligence tools	0.0
bing	65	buzzword	0.0
bing	66	c. j. van rijsbergen	0.0
bing	67	capps ii	0.0
bing	68	cern	0.0
bing	69	cikm conference	0.0
bing	70	crisp-dm	0.0
bing	71	calvin mooers	0.0
bing	72	cambridge university press	0.0
bing	73	cancer	0.0
bing	74	carnegie mellon university	0.0
bing	76	case western reserve university	0.0
bing	77	categorization	0.0
bing	78	category theory	0.0
bing	79	censorship	0.0
bing	80	chacha (search engine)	0.0
bing	81	chemicalize.org	0.0
